Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".33 uF","CP_Elec_6.3x5.3",224.790000,-101.600000,90.000000,top
"C2",".1 uF","CP_Elec_4x5.4",224.790000,-85.090000,90.000000,top
"C3",".1 uF","CP_Elec_4x5.4",190.500000,-113.030000,180.000000,top
"C4",".33 uF","CP_Elec_6.3x5.3",208.280000,-113.030000,0.000000,top
"C5",".1 uF","CP_Elec_4x5.4",224.790000,-113.030000,0.000000,top
"C6","10micro","CP_Elec_4x5.3",191.770000,-45.720000,180.000000,top
"C7","10micro","CP_Elec_4x5.3",191.770000,-69.850000,180.000000,top
"C8","10micro","CP_Elec_4x5.3",191.770000,-93.980000,180.000000,top
"C9","2.2micro","CP_Elec_3x5.4",196.850000,-38.100000,0.000000,top
"C10","2.2micro","CP_Elec_3x5.4",196.850000,-62.230000,0.000000,top
"C11","2.2micro","CP_Elec_3x5.4",196.850000,-86.360000,0.000000,top
"D1","LED","LED_0201_0603Metric",194.310000,-52.070000,0.000000,top
"D2","LED","LED_0201_0603Metric",194.310000,-76.200000,0.000000,top
"D3","LED","LED_0201_0603Metric",194.310000,-100.330000,0.000000,top
"D4","1N4148DO35-7","D_SOD-323",199.390000,-44.450000,180.000000,top
"D5","1N4148DO35-7","D_SOD-323",199.390000,-68.580000,180.000000,top
"D6","1N4148DO35-7","D_SOD-323",199.390000,-92.710000,180.000000,top
"D7","1N4148DO35-7","D_SOD-323",205.740000,-43.180000,0.000000,top
"D8","1N4148DO35-7","D_SOD-323",205.740000,-57.150000,0.000000,top
"D9","1N4148DO35-7","D_SOD-323",205.740000,-67.310000,0.000000,top
"D10","1N4148DO35-7","D_SOD-323",205.740000,-81.280000,0.000000,top
"D11","1N4148DO35-7","D_SOD-323",205.740000,-90.170000,0.000000,top
"D12","1N4148DO35-7","D_SOD-323",205.740000,-105.410000,0.000000,top
"R1","43k","R_0603_1608Metric",229.870000,-59.690000,180.000000,top
"R2","43k","R_0603_1608Metric",229.870000,-54.610000,180.000000,top
"R3","43k","R_0603_1608Metric",229.870000,-49.530000,180.000000,top
"R4","1000","R_0402_1005Metric",194.310000,-54.610000,180.000000,top
"R5","1000","R_0402_1005Metric",194.310000,-78.740000,180.000000,top
"R6","1000","R_0402_1005Metric",194.310000,-102.870000,180.000000,top
"R7","10k","R_0402_1005Metric",229.870000,-45.720000,270.000000,top
"R8","10k","R_0402_1005Metric",226.060000,-45.720000,270.000000,top
"R9","10k","R_0402_1005Metric",222.250000,-45.720000,270.000000,top
"R10","43k","R_0603_1608Metric",222.250000,-59.690000,180.000000,top
"R11","43k","R_0603_1608Metric",222.250000,-54.610000,180.000000,top
"R12","43k","R_0603_1608Metric",222.250000,-49.530000,180.000000,top
"R13","100","R_0603_1608Metric",205.740000,-45.720000,0.000000,top
"R14","100","R_0603_1608Metric",205.740000,-52.070000,0.000000,top
"R15","100","R_0603_1608Metric",205.740000,-69.850000,0.000000,top
"R16","100","R_0603_1608Metric",205.740000,-76.200000,0.000000,top
"R17","100","R_0603_1608Metric",205.740000,-93.980000,0.000000,top
"R18","100","R_0603_1608Metric",205.740000,-100.330000,0.000000,top
"R19","1000","R_0402_1005Metric",209.550000,-45.210000,270.000000,top
"R20","1000","R_0402_1005Metric",209.550000,-55.880000,0.000000,top
"R21","1000","R_0402_1005Metric",209.550000,-69.850000,270.000000,top
"R22","1000","R_0402_1005Metric",210.060000,-80.010000,0.000000,top
"R23","1000","R_0402_1005Metric",209.550000,-93.980000,270.000000,top
"R24","1000","R_0402_1005Metric",210.310000,-104.140000,0.000000,top
"U$1","IR2104S","SOIC-8_3.9x4.9mm_P1.27mm",199.390000,-50.800000,0.000000,top
"U$2","IR2104S","SOIC-8_3.9x4.9mm_P1.27mm",199.390000,-74.930000,0.000000,top
"U$3","IR2104S","SOIC-8_3.9x4.9mm_P1.27mm",199.390000,-99.060000,0.000000,top
"U1","L78L05_SO8","SOIC-8_3.9x4.9mm_P1.27mm",226.060000,-92.710000,90.000000,top
"U2","TMCS1107A1BQDR","SOIC-8_3.9x4.9mm_P1.27mm",198.120000,-113.030000,0.000000,top
"U3","L78L33_SO8","SOIC-8_3.9x4.9mm_P1.27mm",217.170000,-114.300000,0.000000,top
"U4","LM339","TSSOP-14_4.4x5mm_P0.65mm",224.790000,-39.370000,0.000000,top
